Timestamp,Wie oft hast du dein Velo vor der Corona Pandemie pro Woche benutzt?,Wie oft in der Woche benutzt du dein Velo jetzt?,Wie viele Minuten brauchst du ein Velo für den Arbeitsweg?,Wieso fährst du Velo?,Wie hat sich die Maskenpflicht im ÖV auf deinen Velogebrauch ausgwirkt?,Wie alt bist du?,In welcher Gemeinde wohnst du?
03/02/2021 15:46:10,1 - 3 mal,1 - 3 mal,30,"weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,unter 18,Meikirch
03/02/2021 15:48:01,jeden Tag,jeden Tag,6,"weil es mir spass macht, weil es schnell ist",keine Auswirkung,unter 18,Langenthal
03/02/2021 15:48:27,weniger,4 - 6 mal,2,"weil es umweltfreundlich ist, weil es gesund ist, weil es schnell ist",Ich benutze häufiger das Velo als vorher.,unter 18,köniz
03/02/2021 15:56:18,4 - 6 mal,4 - 6 mal,10,"weil es billig ist, weil es umweltfreundlich ist",keine Auswirkung,unter 18,Konolfingen 
03/02/2021 15:56:21,jeden Tag,4 - 6 mal,7,"weil es billig ist, weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist, Sport","I bruche s‘Velo weniger, da igs für i d‘Sporthalle fahre (hobby) leider gad nid bruche",unter 18,Köniz
03/02/2021 15:57:03,4 - 6 mal,1 - 3 mal,7,weil es schnell ist,keine Auswirkung,19 bis 25,Konolfingen
03/02/2021 15:57:44,1 - 3 mal,1 - 3 mal,0,weil es mir spass macht,keine Auswirkung,unter 18,Bern
03/02/2021 15:58:30,4 - 6 mal,4 - 6 mal,20,"weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,19 bis 25,Mühleberg
03/02/2021 15:59:49,4 - 6 mal,1 - 3 mal,10,"weil es gesund ist, weil es schnell ist",keine Auswirkung,19 bis 25,Utzenstorf
03/02/2021 16:01:04,nie,nie,0,"weil es umweltfreundlich ist, weil es schnell ist",keine Auswirkung,unter 18,Köniz
03/02/2021 16:04:42,4 - 6 mal,4 - 6 mal,10,"weil es billig ist, weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,unter 18,Köniz
03/02/2021 16:05:43,4 - 6 mal,4 - 6 mal,10,"weil es umweltfreundlich ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,unter 18,Köniz
03/02/2021 16:16:15,4 - 6 mal,4 - 6 mal,10,"weil es umweltfreundlich ist, weil es gesund ist, weil es schnell ist",keine Auswirkung,26 bis 40,Muttenz
03/02/2021 16:18:24,4 - 6 mal,4 - 6 mal,60,"weil es billig ist, weil es umweltfreundlich ist, weil es gesund ist, Kein Bus",keine Auswirkung,unter 18,OBERSTECKHOLZ
03/02/2021 16:19:10,4 - 6 mal,4 - 6 mal,10,weil es schnell ist,keine Auswirkung,unter 18,Konuuuu
03/02/2021 16:22:36,jeden Tag,jeden Tag,15,"weil es billig ist, weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,unter 18,Bern
03/02/2021 16:26:59,4 - 6 mal,weniger,5,"weil es billig ist, weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,unter 18,Köniz
03/02/2021 16:39:02,4 - 6 mal,1 - 3 mal,14,"weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,unter 18,Niederbipp
03/02/2021 16:40:10,1 - 3 mal,1 - 3 mal,15,"weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht",keine Auswirkung,unter 18,Konolfingen 
03/02/2021 16:41:41,4 - 6 mal,4 - 6 mal,15,"weil es billig ist, weil es umweltfreundlich ist, weil es gesund ist, weil es schnell ist",keine Auswirkung,unter 18,Lotzwil 
03/02/2021 16:45:00,4 - 6 mal,4 - 6 mal,0,"weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,19 bis 25,Obergoldbach
03/02/2021 16:50:16,1 - 3 mal,1 - 3 mal,0,"weil es gesund ist, weil es mir spass macht, Besonders wenn‘s viel Schlamm hat  :D",keine Auswirkung,19 bis 25,Landiswil
03/02/2021 16:56:32,1 - 3 mal,1 - 3 mal,2,weil es mir spass macht,keine Auswirkung,unter 18,KA
03/02/2021 16:59:42,4 - 6 mal,weniger,1,"weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht",keine Auswirkung,unter 18,Belp
03/02/2021 17:17:14,jeden Tag,jeden Tag,10,weil es schnell ist,keine Auswirkung,unter 18,Konolfingen
03/02/2021 17:24:54,weniger,1 - 3 mal,45,"weil es umweltfreundlich ist, weil es schnell ist",keine Auswirkung,unter 18,Konolfingen
03/02/2021 17:29:40,1 - 3 mal,nie,15,"weil es gesund ist, weil es schnell ist",keine Auswirkung,19 bis 25,Bern
03/02/2021 17:33:20,1 - 3 mal,weniger,0,"weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,unter 18,Bern
03/02/2021 17:38:52,jeden Tag,jeden Tag,10,weil es schnell ist,keine Auswirkung,unter 18,Wattenwil
03/02/2021 17:44:02,1 - 3 mal,4 - 6 mal,15,weil es schnell ist,keine Auswirkung,unter 18,Spiegel
03/02/2021 17:45:04,nie,4 - 6 mal,35,"weil es mir spass macht, weil es schnell ist",Ich benutze häufiger das Velo als vorher.,unter 18,Hier
03/02/2021 17:50:14,jeden Tag,jeden Tag,10,"weil es umweltfreundlich ist, Geht nicht anders.",keine Auswirkung,unter 18,Thun
03/02/2021 18:09:08,weniger,nie,15,"weil es billig ist, weil es gesund ist",keine Auswirkung,unter 18,Köniz
03/02/2021 18:10:33,4 - 6 mal,jeden Tag,10,"weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,unter 18,Nidau
03/02/2021 18:16:55,4 - 6 mal,4 - 6 mal,25,"weil es umweltfreundlich ist, weil es gesund ist, weil es schnell ist",keine Auswirkung,unter 18,Hilterfingen
03/02/2021 18:18:27,jeden Tag,jeden Tag,15,"weil es billig ist, weil es umweltfreundlich ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,19 bis 25,Kehrsatz
03/02/2021 18:39:16,4 - 6 mal,4 - 6 mal,5,"weil es billig ist, weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,41 bis 65,Köniz
03/02/2021 18:54:56,1 - 3 mal,nie,0,"weil es umweltfreundlich ist, weil es gesund ist",keine Auswirkung,unter 18,Köniz
03/02/2021 19:45:48,4 - 6 mal,4 - 6 mal,20,weil es schnell ist,keine Auswirkung,unter 18,Konolfingen 
03/02/2021 20:10:27,jeden Tag,jeden Tag,15,"weil es mir spass macht, weil es schnell ist, Hobby",Ich benutze nur noch das Velo.,19 bis 25,Kappelen 
03/02/2021 20:13:24,4 - 6 mal,4 - 6 mal,10,"weil es billig ist, weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,unter 18,Köniz
03/02/2021 20:15:09,weniger,weniger,50,"weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht",Ich benutze häufiger das Velo als vorher.,41 bis 65,3510
03/02/2021 20:21:16,1 - 3 mal,nie,0,weil es schnell ist,keine Auswirkung,unter 18,Konolfingen 
03/02/2021 21:06:07,jeden Tag,jeden Tag,5,"weil es umweltfreundlich ist, weil es gesund ist, weil es schnell ist",keine Auswirkung,41 bis 65,Köniz
03/02/2021 21:20:21,jeden Tag,4 - 6 mal,40,"weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,41 bis 65,Köniz
03/02/2021 21:32:51,4 - 6 mal,4 - 6 mal,5,"weil es gesund ist, weil es mir spass macht",keine Auswirkung,unter 18,Konolfingen 
03/02/2021 22:06:29,jeden Tag,jeden Tag,5,"weil es mir spass macht, weil es schnell ist",keine Auswirkung,26 bis 40,Davos
03/02/2021 23:11:14,4 - 6 mal,4 - 6 mal,30,weil es mir spass macht,keine Auswirkung,26 bis 40,3027
03/02/2021 23:21:17,4 - 6 mal,4 - 6 mal,7,weil es schnell ist,keine Auswirkung,unter 18,Köniz
04/02/2021 05:32:31,4 - 6 mal,4 - 6 mal,15,"weil es umweltfreundlich ist, weil es gesund ist",Ich benutze häufiger das Velo als vorher.,unter 18,Fislisbach 
04/02/2021 07:39:52,jeden Tag,weniger,0,"weil es umweltfreundlich ist, weil es gesund ist, weil es schnell ist",keine Auswirkung,unter 18,Blumenstein
04/02/2021 08:02:39,4 - 6 mal,nie,10,"weil es billig ist, weil es gesund ist, weil es schnell ist",keine Auswirkung,unter 18,Naters
04/02/2021 08:05:28,1 - 3 mal,1 - 3 mal,20,"weil es gesund ist, weil es mir spass macht",keine Auswirkung,unter 18,3510
04/02/2021 08:18:38,4 - 6 mal,1 - 3 mal,5,"weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,26 bis 40,Liebefeld
04/02/2021 08:19:44,weniger,weniger,90,"weil es mir spass macht, Downhill, Pumptracks und Highjumps und für Familienausflüge",keine Auswirkung,26 bis 40,Gurmels (FR)
04/02/2021 08:20:51,4 - 6 mal,1 - 3 mal,20,"weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,26 bis 40,Köniz
04/02/2021 08:33:53,nie,nie,0,"weil es gesund ist, weil es mir spass macht",keine Auswirkung,26 bis 40,Neuenegg BE
04/02/2021 08:35:19,jeden Tag,jeden Tag,20,weil ich noch kein töffli-ausweis habe lol (und es in meinere nähe kein bus/bahnhof gibt,keine Auswirkung,unter 18,Gysenstein (3503)
04/02/2021 08:35:50,4 - 6 mal,4 - 6 mal,12,"weil es billig ist, weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,26 bis 40,Bern
04/02/2021 08:38:56,1 - 3 mal,weniger,0,"weil es gesund ist, weil es mir spass macht",keine Auswirkung,41 bis 65,Oberburg
04/02/2021 08:49:47,nie,nie,0.01,Fahre mit dem Auto zur Arbeit,keine Auswirkung,41 bis 65,Ittigen
04/02/2021 08:52:30,4 - 6 mal,4 - 6 mal,4,"weil es mir spass macht, weil es schnell ist, Ich brauche das Velo hauptsächlich für den Weg von Zuhause bis an den Bahnhof",keine Auswirkung,26 bis 40,Schwarzenburg
04/02/2021 08:56:53,jeden Tag,1 - 3 mal,15,"weil es billig ist, weil es gesund ist, weil es schnell ist",keine Auswirkung,26 bis 40,Kehrsatz
04/02/2021 09:10:16,nie,nie,0,Fahre selten Velo,keine Auswirkung,26 bis 40,Köniz
04/02/2021 09:19:20,4 - 6 mal,nie,10,"weil es umweltfreundlich ist, weil es gesund ist, weil es schnell ist",keine Auswirkung,26 bis 40,Köniz
04/02/2021 09:53:18,1 - 3 mal,1 - 3 mal,20,weil es mir spass macht,keine Auswirkung,19 bis 25,Muri
04/02/2021 09:58:19,4 - 6 mal,4 - 6 mal,10,"weil es billig ist, weil es schnell ist, weil ich unabhängig von Fahrplänen bin (ÖV)",keine Auswirkung,19 bis 25,Niederönz
04/02/2021 10:11:42,1 - 3 mal,nie,8,"weil es umweltfreundlich ist, weil es gesund ist",Benütze das Velo weniger,41 bis 65,Freimettigen 
04/02/2021 10:11:57,1 - 3 mal,weniger,50,weil es mir spass macht,keine Auswirkung,41 bis 65,3177 Laupen
04/02/2021 10:37:48,4 - 6 mal,4 - 6 mal,5,"weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,unter 18,Thun
04/02/2021 10:41:34,1 - 3 mal,4 - 6 mal,10,weil es schnell ist,keine Auswirkung,26 bis 40,Aarau
04/02/2021 11:25:09,weniger,weniger,0,weil es mir spass macht,keine Auswirkung,26 bis 40,4665 Oftringen
04/02/2021 12:27:25,nie,nie,2,Damit ich Alkohol trinken kann,keine Auswirkung,26 bis 40,Köniz
04/02/2021 12:46:21,weniger,weniger,0,weil es mir spass macht,keine Auswirkung,41 bis 65,Neuenegg
04/02/2021 13:37:07,4 - 6 mal,4 - 6 mal,15,"weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht",Ich benutze nur noch das Velo.,41 bis 65,3084 Wabern
04/02/2021 13:47:14,nie,nie,10,Mache ich nicht ,keine Auswirkung,26 bis 40,Herzogenbuchsee 
04/02/2021 13:48:27,nie,nie,10,Mache ich nicht ,keine Auswirkung,26 bis 40,Herzogenbuchsee 
04/02/2021 14:52:25,weniger,weniger,25,"weil es gesund ist, weil es mir spass macht",keine Auswirkung,26 bis 40,Bern
05/02/2021 06:10:41,weniger,weniger,0,"weil es gesund ist, weil es schnell ist",keine Auswirkung,26 bis 40,Vechigen
06/02/2021 21:22:34,4 - 6 mal,4 - 6 mal,45,"weil es umweltfreundlich ist, weil es gesund ist, weil es mir spass macht, weil es schnell ist",keine Auswirkung,41 bis 65,Konolfingen 
